LOC_CODE,LOC_NAME,DEPT_ID,DEPT_NAME,DESG_ID,DESIGNATION,SUB_DEPT_1,SUB_DEPT_2,SUB_DEPT_3_TO_BE_FILLED,SEATS_MISSING_SD3
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1705,CCTV OPERATOR,ADMIN/LP,CCTV,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,10,ELECTRICIAN,ADMIN/LP,ADMIN,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,ADMIN/LP,HOUSEKEEPING,,23
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,GATE ENTRY,GATE ENTRY,,13
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,GRT,GRT,,46
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,INVENTORY,INVENTORY,,7
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,LOGISTICS,CLA,,46
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,LOGISTICS,CLA HUB,,3
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,MSA,MSA REGULAR,,46
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,MSA,PTL PICKING,,9
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,NON TRADING,NON TRADING,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,PROJECT,PROJECT,,5
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,PUTAWAY,PUTAWAY,,31
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,QUALITY,QUALITY,,10
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,RECEIVING,GM DIVISION,,13
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,RECEIVING,KIDS  DIV,,9
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,RECEIVING,LADIES DIV,,11
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,RECEIVING,MENS DIV,,10
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,RECEIVING,NON TRADING,,2
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,90,INTERNAL,ADMIN/LP,LP,,8
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1706,LADY.GUARD,ADMIN/LP,LP,,3
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,GRT,GRT,,8
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,INVENTORY,INVENTORY,,16
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,LOGISTICS,CLA,,8
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,MSA,MSA REGULAR,,200
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,MSA,PTL PICKING,,46
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,PUTAWAY,PUTAWAY,,24
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,RECEIVING,GM DIVISION,,10
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,RECEIVING,KIDS  DIV,,10
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,RECEIVING,LADIES DIV,,8
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,RECEIVING,MENS DIV,,14
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1707,STICHING,MSA,MSA REGULAR,,5
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,ADMIN/LP,HOUSEKEEPING,,2
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,FORKLIFT OPS,FORKLIFTER,,8
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,GATE ENTRY,GATE ENTRY,,5
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,GRT,GRT,,5
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INVENTORY,INVENTORY,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,LOGISTICS,CLA,,7
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,LOGISTICS,CLA HUB,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,MSA,MSA REGULAR,,9
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,MSA,PTL PICKING,,13
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,PUTAWAY,PUTAWAY,,3
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,QUALITY,QUALITY,,5
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,RECEIVING,GM DIVISION,,4
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,RECEIVING,KIDS  DIV,,2
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,RECEIVING,LADIES DIV,,1
DH24,FRKH-NGR-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,RECEIVING,MENS DIV,,2
DH24,FRKH-NGR-RDC,661,DC-OPS-V2,72,DRIVER,CLA & LOGISTICS,FRKH-NGR-RDC,,93
DO01,BBSR-HUB,663,HUB-OPS,72,DRIVER,CLA & LOGISTICS,BBSR-HUB,,3
DR01,AJMER-HUB,663,HUB-OPS,1472,LABOUR,SCM,HUB-OPS,,4
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,10,ELECTRICIAN,LP ADMIN,PROJECT,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,CLA,LOGISTICS,,47
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,GRT-PICKING,GRT-PICKING,,11
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,INBOUND,GATE ENTRY,,26
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,INBOUND,QUALITY,,2
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,INBOUND,REC,,31
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,INVENTORY,INVENTORY,,11
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,IT,IT,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,LP ADMIN,PROJECT,,4
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,MSA,MSA,,21
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,MSA,PTL PROCESS,,10
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,NON TRADING,NON TRADING,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,87,HELPER,PUTAWAY,PUTAWAY,,20
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1299,HK,LP ADMIN,HK,,16
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,90,INTERNAL,LP ADMIN,INTERNAL,,9
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1706,LADY.GUARD,LP ADMIN,SG,,3
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1481,RT OPERATOR,PROJECT,PROJECT,,7
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,CLA,LOGISTICS,,4
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,GRT-PICKING,GRT-PICKING,,14
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,INBOUND,QUALITY,,3
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,INBOUND,REC,,87
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,INBOUND,REC K MART,,12
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,INVENTORY,INVENTORY,,29
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,MSA,MSA,,162
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,MSA,PTL PROCESS,,17
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,NON TRADING,NON TRADING,,12
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1476,SCANNER,PUTAWAY,PUTAWAY,,28
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,CLA,ACCOUNTS,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,CLA,LOGISTICS,,9
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,GRT-PICKING,GRT-PICKING,,3
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INBOUND,GATE ENTRY,,2
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INBOUND,QUALITY,,3
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INBOUND,REC,,12
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INBOUND,REC K MART,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,INVENTORY,INVENTORY,,2
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,MIS,MIS,,1
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,MSA,MSA,,9
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,NON TRADING,NON TRADING,,3
DW01,KOLKATA-RDC,664,DC-OPS-CONTRACTUAL,1704,TL,PUTAWAY,PUTAWAY,,3
RD04,HO-OLD,2,LOSS PREVENTION,90,INTERNAL,RH02,,,1
RH01,HO-NEW,377,ADMIN,1497,ADMIN HEAD,FACILITY & OPERATION,,,1
