"STCode","CorrectId","CurrentDbId","IdChanged","LocationName"
"HA10","7","2636","Y","ITNGR"
"HB05","8","2862","Y","PTN-1(MAHARAJ A COMPLEX)"
"HB06","9","2865","Y","GAYA"
"HB07","10","2882","Y","BGPR-1(KACHARI CHOWK)"
"HB08","11","2872","Y","DRBG"
"HB09","12","2868","Y","BETIA"
"HB10","13","2888","Y","ARA"
"HB11","14","2943","Y","PURNIA"
"HB13","15","2937","Y","SWN"
"HB15","16","2869","Y","B-SRF"
"HB16","17","2931","Y","STMD"
"HB17","18","2935","Y","MTHR"
"HB19","19","2898","Y","SMSTPR-1"
"HB20","20","2878","Y","BEGUSARAI-3"
"HB21","21","2876","Y","SHRSA"
"HB22","22","2877","Y","BARH"
"HB24","23","2881","Y","BANKA"
"HB26","24","2864","Y","AURNGBD"
"HB29","25","2863","Y","PTN-2(SAGUNA MORE)"
"HB30","26","2932","Y","GOPALGANJ"
"HB31","27","2894","Y","MADHUBANI"
"HB32","28","2880","Y","SASARAM"
"HB34","29","2890","Y","PTN-3(ANISHA BAD)"
"HB35","30","2870","Y","CHPRA"
"HB36","31","2887","Y","HJPR"
"HB37","32","2860","Y","PTN-4(KURJI)"
"HB38","33","2883","Y","BGPR-2(TATARPUR CHOWK)"
"HB39","34","2879","Y","DEHRI ON SONE"
"HB41","35","2941","Y","PTN-5(PHULWARI SHARIF)"
"HB42","36","2891","Y","JAMUI"
"HB43","37","2939","Y","PTN-6(MATCHUATOLI)"
"HB44","38","2886","Y","MUNGER"
"HB45","39","2946","Y","PTN-7(PATNA CITY)"
"HB47","40","2884","Y","JAMALPUR"
"HB48","41","2892","Y","JEHANABAD"
"HB50","42","2874","Y","BHABUA"
"HB51","43","2938","Y","PTN-8(GOLA ROAD)"
"HB52","44","2897","Y","SAMASTIPUR (GC)"
"HB53","45","2889","Y","NAWADA"
"HB54","46","2942","Y","PATNA(SAHIB)"
"HB55","47","2873","Y","KHAGARIA"
"HB56","48","2934","Y","MOTIHARI"
"HC01","50","2780","Y","RAIPUR(COLORS MALL)-(V2)"
"HC02","51","2781","Y","AMBIKAPUR"
"HD22","53","2680","Y","KPSHR"
"HD24","54","2681","Y","BHAJANPURA"
"HD25","55","2684","Y","RANIBAGH"
"HD26","56","2682","Y","MHPL-2(VASANT KUNJ ROAD)"
"HD27","57","2692","Y","NARELA"
"HD28","58","2686","Y","MAHAVIR ENCLAVE"
"HD29","59","2685","Y","NAJAFGARH"
"HD30","60","2690","Y","KIRARI(APNA BAZAR)"
"HD31","61","2691","Y","BURARI"
"HG10","63","2566","Y","PNJM"
"HG11","64","2562","Y","BCHLM"
"HH13","65","2708","Y","FBD-2(NIT MARKET)"
"HI05","66","2739","Y","SLN"
"HI06","67","2741","Y","KANGRA"
"HJ08","68","2964","Y","JMD-1(SAKCHI)"
"HJ09","69","2950","Y","RNCH-1(MAIN ROAD)"
"HJ10","70","2955","Y","HZRBG"
"HJ11","71","2952","Y","DGHR"
"HJ12","72","2960","Y","R-DHWR"
"HJ14","74","2953","Y","DUMKA"
"HJ15","75","2951","Y","CHAS"
"HJ17","76","2966","Y","JMD-2(ADITYAPUR)"
"HJ19","77","2948","Y","RNCH-2(BHUTALA MALL)"
"HJ20","78","2965","Y","JMD-3(MANGO CHOWK)"
"HJ21","79","2956","Y","DHANBAD"
"HJ22","80","2963","Y","JMD-BISTUPUR"
"HJ23","81","2961","Y","CHAKRADHARPUR"
"HJ24","82","2967","Y","LOHARDAGA"
"HJ25","83","2962","Y","GAMAHRIA"
"HJ27","84","2947","Y","RAMGARH"
"HK04","85","2545","Y","HBL-1(AKSHAY PARK)"
"HK05","86","3025","Y","BELAGAVI-1(KOLAPUR CIRCLE)"
"HK07","87","2549","Y","VJPR"
"HK10","88","2556","Y","GLBRG"
"HK11","89","2544","Y","DHRWD"
"HK12","90","2551","Y","BELAGAVI-2(RPD ROAD)"
"HK13","91","2538","Y","MYSURU"
"HK14","92","2548","Y","JAMKHANDI"
"HK15","93","2555","Y","RAICHUR"
"HK16","94","2543","Y","HBL-2(PADMA TALKIES)"
"HK17","95","2537","Y","LEGACY MALL"
"HK18","96","2542","Y","HAVERI-(V2)"
"HK19","97","2554","Y","BAGALKOT"
"HK20","98","2547","Y","KOPPAL"
"HK21","99","2534","Y","TC PALYA"
"HM20","104","3030","Y","SGR"
"HM21","105","2912","Y","JBLPR"
"HM22","106","2928","Y","REWA"
"HM23","107","2921","Y","HARDA"
"HM24","108","2899","Y","BHOPAL (KOLAR ROAD)"
"HM25","109","2901","Y","BHOPAL-2(KAROND ROAD)"
"HM26","110","2922","Y","BURHANPUR"
"HM28","111","2927","Y","CHHINDWARA"
"HM29","112","2904","Y","HOSHANGABAD"
"HM30","113","2915","Y","KATNI (GOLE BAZAR)"
"HM31","114","2906","Y","GWALIOR"
"HM32","115","2913","Y","NARSINGHPUR-(BR)-(V2)"
"HM33","116","2924","Y","BETUL"
"HM35","117","2900","Y","BHOPAL (SERVICE ROAD)"
"HM36","118","2925","Y","KHARGONE"
"HM37","119","2917","Y","DEWAS"
"HM38","120","2905","Y","SEHORE(New Bus Stand)"
"HM39","121","2908","Y","SAGAR(CIVIL LINES)"
"HN10","122","2643","Y","GWHT -1(PALTAN BAZAR)"
"HN11","123","2652","Y","SLCHR-1(TULA-PATTY)"
"HN13","124","2674","Y","BRPT-1(BARPETA ROAD)"
"HN14","125","2658","Y","JRHT"
"HN15","126","2644","Y","GWHT-3(ADABARI)"
"HN21","127","2653","Y","AGTLA"
"HN22","128","2654","Y","SLCHR-2(UKIL-PATTY)"
"HN23","129","2665","Y","SHILLONG"
"HN25","130","2679","Y","BRPT-2(BARPETA TOWN)"
"HN26","131","2670","Y","TEZPUR"
"HN27","132","2639","Y","TINSUKIA"
"HN28","133","2660","Y","NALBARI"
"HN29","134","2661","Y","DIPHU"
"HN30","135","2723","Y","BONGAIGAON"
"HN33","136","2676","Y","DIBRUGARH"
"HN34","137","2724","Y","DHUBRI(BORO BAZAR)"
"HN39","138","2641","Y","BISWANATH CHARALI"
"HO08","141","2633","Y","O-BHRM-1(TELEPHONE BHAWAN)"
"HO09","142","2619","Y","CTK-1"
"HO10","143","2606","Y","BBSR-1(KRISHNA PLAZA)"
"HO11","144","2625","Y","JEYPORE"
"HO12","145","2602","Y","BBSR-2(PATRA PADA)"
"HO13","146","2604","Y","BBSR-3(PATIA)"
"HO15","147","2600","Y","JJPR"
"HO16","148","2618","Y","ANGUL"
"HO18","149","2565","Y","BLSRE"
"HO19","150","2564","Y","BHADRAK"
"HO20","152","2621","Y","NMPDA"
"HO23","153","2626","Y","KHORDA"
"HO24","154","2623","Y","RRKL"
"HO25","155","2613","Y","BRPD-1(DURGA BARI)"
"HO26","156","2605","Y","BBSR-4(RASULGARH)"
"HO27","157","2968","Y","BHRM-2(BANK ROAD)"
"HO28","158","2607","Y","BBSR-5(KALPANA)"
"HO29","159","2601","Y","KEONJHAR"
"HO30","160","2629","Y","JHARSUGUDA"
"HO31","161","2631","Y","SAMBHALPUR"
"HO32","162","2622","Y","PARADEEP"
"HO36","163","2615","Y","NUAPADA"
"HO38","164","2614","Y","BRPD-2(BALESHWAR BUILDING)"
"HO39","165","2616","Y","BARGARH"
"HO40","166","2628","Y","JHARSUGUDA-2"
"HP01","169","2751","Y","RUPNAGAR"
"HP02","170","2734","Y","GURDASPUR"
"HP03","171","2728","Y","PATHANKOT (OPTION 2)"
"HR17","176","2830","Y","BHILWARA-AJMER ROAD"
"HR18","177","2831","Y","KISHANGARH"
"HR19","178","2822","Y","CHITTORGARH"
"HS01","179","2558","Y","GAJUWAKA"
"HT14","180","2715","Y","RRKE"
"HT16","181","2707","Y","KHTM"
"HT17","182","2696","Y","HLDN-2(JAIL ROAD CHAURAHA)"
"HT18","183","2705","Y","DEHRADUN"
"HT19","184","2706","Y","DEHRADUN (SEEMA-DWAR)"
"HT20","185","2694","Y","KOTDWAR"
"HT21","186","2700","Y","DEHRADUN -JOGGIWALA"
"HU34","188","2767","Y","GKP-2(MEDICAL ROAD)"
"HU36","189","2757","Y","JNPR"
"HU41","191","2752","Y","VNS-2(LANKA)"
"HU44","192","2756","Y","GZPR"
"HU45","193","2771","Y","PGRH"
"HU48","194","2760","Y","AKBRPR"
"HU49","195","2841","Y","BHRCH-2(HOSPITAL ROAD)"
"HU54","196","2765","Y","PDRNA"
"HU55","197","2753","Y","VNS-3(CHITAIPUR)"
"HU57","198","2836","Y","LKNW-4(JNK PRM)"
"HU58","199","2769","Y","AZAM-2(MURLI TALKIES)"
"HU59","200","2762","Y","BASTI"
"HU61","201","2777","Y","RBRLY"
"HU64","202","2774","Y","BLRMPR"
"HU65","203","2758","Y","PRAYAGRAJ-1(KATRA)"
"HU67","204","2858","Y","LKHMPR"
"HU69","205","2840","Y","LKNW-5(MATIYARI)"
"HU70","206","2850","Y","KNPR-1(LAL BANGLA)"
"HU71","207","2849","Y","GONDA"
"HU72","208","2845","Y","BRLY"
"HU74","209","2794","Y","BHANGEL"
"HU76","210","2754","Y","VNS-4(PAHARIYA)"
"HU78","212","2755","Y","RENUKOOT"
"HU80","213","2856","Y","LKNW-6(TELI BAG)"
"HU81","214","2837","Y","LKNW-7(SITAPUR ROAD)"
"HU82","215","2773","Y","KHALILABAD"
"HU83","216","2838","Y","LKNW-8(ALAMBAGH)"
"HU84","217","2764","Y","GORAKHPUR-4"
"HU86","218","2855","Y","SITAPUR"
"HU88","219","2971","Y","HARDOI"
"HU90","220","2854","Y","RAMPUR"
"HU91","221","2969","Y","BUDAUN"
"HU92","222","2846","Y","BAREILLY (GURUDWARA)"
"HU93","223","2784","Y","GHAZIABAD (TIGRI)"
"HU95","224","2839","Y","LUCKNOW(KURSI RAOD)"
"HU97","225","2970","Y","BIJNOR"
"HW13","228","2581","Y","MALDAH"
"HW14","229","2572","Y","AQTCA"
"HW15","230","2580","Y","SILIGURI"
"HW16","231","2597","Y","CHINSURAH"
"HW17","232","2582","Y","RAMPURHAT"
"HW18","233","2579","Y","DURGAPUR"
"HW19","234","2599","Y","KHARAGPUR"
"HW20","235","2574","Y","ASANSOL-1(MARKET ROAD)"
"HW21","236","2589","Y","MIDNAPORE"
"HW24","237","2573","Y","ASANSOL-2(CENTRUM MALL)"
"HW25","238","2596","Y","B-BERHAMPORE"
