LocationId,STCode,LocationName,StateId,CreatedOn,LocationCategoryId,ZoneId,RegionId,ClusterId,IsActive,StoreLong,StoreLat,AllowedRadiusMeters,IsDeleted,OpeningDate,IsAllowOvertimePayment,ADDRESS,LocationType,StateIdForMinWage,IsGeofenceEnabled,IsEsicEnabled
7,HA10,ITNGR,260,2025-06-12 16:25:02.197,,7,164,210,True,86.795823,25.934801,34,False,2/4/2017 12:00:00 AM,,sarhol gurugram,4,2,False,
8,HB05,PTN-1(MAHARAJ A COMPLEX),248,2025-06-12 16:25:02.197,,8,1,202,True,86.795825,25.934801,34,False,4/29/2012 12:00:00 AM,,ggn,4,4,False,
9,HB06,GAYA,248,2025-06-12 16:25:02.197,,8,1,203,True,86.795823,25.934801,200,False,9/19/2012 12:00:00 AM,,ggn,4,4,False,
10,HB07,BGPR-1(KACHARI CHOWK),248,2025-06-12 16:25:02.197,,8,1,205,True,86.795823,25.934801,,False,4/7/2013 12:00:00 AM,,,4,4,False,
11,HB08,DRBG,248,2025-06-12 16:25:02.197,,8,131,204,True,86.795823,25.934801,,False,3/23/2013 12:00:00 AM,,,4,4,False,
12,HB09,BETIA,248,2025-06-12 16:25:02.197,,8,131,204,True,86.795823,25.934801,100,False,4/25/2013 12:00:00 AM,,gurgaon,4,4,False,
13,HB10,ARA,248,2025-06-12 16:25:02.197,,8,1,208,True,86.795823,25.934801,,False,3/9/2014 12:00:00 AM,,,4,4,False,
14,HB11,PURNIA,248,2025-06-12 16:25:02.197,,8,1,208,True,86.795823,25.934801,,False,3/10/2016 12:00:00 AM,,,4,4,False,
15,HB13,SWN,248,2025-06-12 16:25:02.197,,8,131,268,True,86.795823,25.934801,,False,5/12/2016 12:00:00 AM,,,4,4,False,
16,HB15,B-SRF,248,2025-06-12 16:25:02.197,,8,131,206,True,86.795823,25.934801,,False,6/18/2016 12:00:00 AM,,,4,4,False,
17,HB16,STMD,248,2025-06-12 16:25:02.197,,8,131,207,True,86.795823,25.934801,,False,10/17/2016 12:00:00 AM,,,4,4,False,
18,HB17,MTHR,248,2025-06-12 16:25:02.197,,8,131,268,True,86.795823,25.934801,,False,2/24/2017 12:00:00 AM,,,4,4,False,
19,HB19,SMSTPR-1,248,2025-06-12 16:25:02.197,,8,131,207,True,86.795823,25.934801,,False,7/9/2018 12:00:00 AM,,,4,4,False,
20,HB20,BEGUSARAI-3,248,2025-06-12 16:25:02.197,,8,131,206,True,86.795823,25.934801,,False,2/9/2022 12:00:00 AM,,,4,4,False,
21,HB21,SHRSA,248,2025-06-12 16:25:02.197,,8,131,204,True,86.795823,25.934801,,False,6/9/2018 12:00:00 AM,,,4,4,False,
22,HB22,BARH,248,2025-06-12 16:25:02.197,,8,131,206,True,86.795823,25.934801,,False,9/30/2018 12:00:00 AM,,,4,4,False,
23,HB24,BANKA,248,2025-06-12 16:25:02.197,,8,1,205,True,86.795823,25.934801,,False,1/5/2019 12:00:00 AM,,,4,4,False,
24,HB26,AURNGBD,248,2025-06-12 16:25:02.197,,8,1,203,True,86.795823,25.934801,,False,10/4/2020 12:00:00 AM,,,4,4,False,
25,HB29,PTN-2(SAGUNA MORE),248,2025-06-12 16:25:02.197,,8,1,202,True,86.795823,25.934801,,False,3/7/2021 12:00:00 AM,,,4,4,False,
26,HB30,GOPALGANJ,248,2025-06-12 16:25:02.197,,8,131,268,True,86.795823,25.934801,,False,2/28/2021 12:00:00 AM,,,4,4,False,
27,HB31,MADHUBANI,248,2025-06-12 16:25:02.197,,8,131,207,True,86.795823,25.934801,,False,3/20/2021 12:00:00 AM,,,4,4,False,
28,HB32,SASARAM,248,2025-06-12 16:25:02.197,,8,1,203,True,86.795823,25.934801,,False,3/14/2022 12:00:00 AM,,,4,4,False,
29,HB34,PTN-3(ANISHA BAD),248,2025-06-12 16:25:02.197,,8,1,202,True,86.795823,25.934801,,False,10/3/2021 12:00:00 AM,,,4,4,False,
30,HB35,CHPRA,248,2025-06-12 16:25:02.197,,8,131,206,True,86.795823,25.934801,,False,3/6/2022 12:00:00 AM,,,4,4,False,
31,HB36,HJPR,248,2025-06-12 16:25:02.197,,8,131,206,True,86.795823,25.934801,,False,10/19/2023 12:00:00 AM,,,4,4,False,
32,HB37,PTN-4(KURJI),248,2025-06-12 16:25:02.197,,8,1,202,True,86.795823,25.934801,,False,2/13/2024 12:00:00 AM,,,4,4,False,
33,HB38,BGPR-2(TATARPUR CHOWK),248,2025-06-12 16:25:02.197,,8,1,205,True,86.795823,25.934801,,False,2/25/2024 12:00:00 AM,,,4,4,False,
34,HB39,DEHRI ON SONE,248,2025-06-12 16:25:02.197,,8,1,203,True,86.795823,25.934801,,False,2/19/2024 12:00:00 AM,,,4,4,False,
35,HB41,PTN-5(PHULWARI SHARIF),248,2025-06-12 16:25:02.197,,8,1,202,True,86.795823,25.934801,,False,6/2/2024 12:00:00 AM,,,4,4,False,
