OrphanLocId,DominantSTCode,TotalEmps,ActiveEmps,Diagnosis
73,N/A,546,0,NO_MATCH_IN_PROD
657,HR31,1,1,NO_MATCH_IN_PROD
62,N/A,102,0,NO_MATCH_IN_PROD
555,R5-02,1,1,NO_MATCH_IN_PROD
554,R5-04,1,1,NO_MATCH_IN_PROD
553,R5-03,1,1,NO_MATCH_IN_PROD
552,R9-04,1,1,NO_MATCH_IN_PROD
551,R7-04,1,1,NO_MATCH_IN_PROD
550,R12-01,1,1,NO_MATCH_IN_PROD
549,R5-01,1,1,NO_MATCH_IN_PROD
548,R11-05,1,1,NO_MATCH_IN_PROD
547,R4-02,1,1,NO_MATCH_IN_PROD
546,R9-05,1,1,NO_MATCH_IN_PROD
545,R10-01,1,1,NO_MATCH_IN_PROD
544,R12-03,1,1,NO_MATCH_IN_PROD
543,R10-02,1,1,NO_MATCH_IN_PROD
542,R13-01,1,1,NO_MATCH_IN_PROD
541,R6-03,1,1,NO_MATCH_IN_PROD
540,R12-02,1,1,NO_MATCH_IN_PROD
539,R6-01,1,1,NO_MATCH_IN_PROD
538,R8-02,1,1,NO_MATCH_IN_PROD
537,R8-05,1,1,NO_MATCH_IN_PROD
536,R12-04,1,1,NO_MATCH_IN_PROD
535,R9-01,1,1,NO_MATCH_IN_PROD
534,R7-05,1,1,NO_MATCH_IN_PROD
533,R4-04,1,1,NO_MATCH_IN_PROD
532,R13-02,1,1,NO_MATCH_IN_PROD
531,R9-03,1,1,NO_MATCH_IN_PROD
530,R13-03,1,1,NO_MATCH_IN_PROD
529,R13-04,1,1,NO_MATCH_IN_PROD
528,R11-01,1,1,NO_MATCH_IN_PROD
527,R7-02,1,1,NO_MATCH_IN_PROD
526,R8-03,1,1,NO_MATCH_IN_PROD
525,R5-05,1,1,NO_MATCH_IN_PROD
524,R3-01,1,1,NO_MATCH_IN_PROD
523,R10-03,1,1,NO_MATCH_IN_PROD
522,R8-01,1,1,NO_MATCH_IN_PROD
521,R10-04,1,1,NO_MATCH_IN_PROD
520,R11-02,1,1,NO_MATCH_IN_PROD
519,R8-04,1,1,NO_MATCH_IN_PROD
518,R3-03,1,1,NO_MATCH_IN_PROD
517,R4-01,1,1,NO_MATCH_IN_PROD
516,R7-03,1,1,NO_MATCH_IN_PROD
515,R2-03,1,1,NO_MATCH_IN_PROD
514,R2-02,1,1,NO_MATCH_IN_PROD
513,R9-02,1,1,NO_MATCH_IN_PROD
512,R4-03,1,1,NO_MATCH_IN_PROD
511,R7-01,1,1,NO_MATCH_IN_PROD
510,R1-04,1,1,NO_MATCH_IN_PROD
509,R13-05,1,1,NO_MATCH_IN_PROD
508,R11-03,1,1,NO_MATCH_IN_PROD
507,R11-04,1,1,NO_MATCH_IN_PROD
506,R1-03,1,1,NO_MATCH_IN_PROD
505,R2-01,1,1,NO_MATCH_IN_PROD
504,R1-02,1,1,NO_MATCH_IN_PROD
503,R1-01,1,1,NO_MATCH_IN_PROD
502,R6-02,1,1,NO_MATCH_IN_PROD
501,R3-02,1,1,NO_MATCH_IN_PROD
481,HB01,1,1,NO_MATCH_IN_PROD
450,SIKAR,1,1,NO_MATCH_IN_PROD
449,JHUNJHUNU,1,1,NO_MATCH_IN_PROD
445,loc code,2,1,NO_MATCH_IN_PROD
444,rohit,1,1,NO_MATCH_IN_PROD
328,RH02,311,210,NO_MATCH_IN_PROD
327,HU114,1,1,NO_MATCH_IN_PROD
325,MISS,276,1,NO_MATCH_IN_PROD
324,V2S,1,1,NO_MATCH_IN_PROD
260,N/A,39,0,NO_MATCH_IN_PROD
251,N/A,1,0,NO_MATCH_IN_PROD
250,N/A,102,0,NO_MATCH_IN_PROD
249,N/A,74,0,NO_MATCH_IN_PROD
248,N/A,65,0,NO_MATCH_IN_PROD
247,N/A,154,0,NO_MATCH_IN_PROD
246,N/A,44,0,NO_MATCH_IN_PROD
245,N/A,3,0,NO_MATCH_IN_PROD
243,N/A,162,0,NO_MATCH_IN_PROD
227,N/A,37,0,NO_MATCH_IN_PROD
226,N/A,221,0,NO_MATCH_IN_PROD
187,N/A,45,0,NO_MATCH_IN_PROD
1850,N/A,2,0,NO_MATCH_IN_PROD
1824,N/A,9,0,NO_MATCH_IN_PROD
1823,N/A,2,0,NO_MATCH_IN_PROD
1822,N/A,2023,0,NO_MATCH_IN_PROD
1821,N/A,10,0,NO_MATCH_IN_PROD
1820,N/A,62,0,NO_MATCH_IN_PROD
1819,N/A,3,0,NO_MATCH_IN_PROD
1818,N/A,83,0,NO_MATCH_IN_PROD
1817,N/A,1,0,NO_MATCH_IN_PROD
1816,N/A,116,0,NO_MATCH_IN_PROD
1815,N/A,108,0,NO_MATCH_IN_PROD
1814,N/A,49,0,NO_MATCH_IN_PROD
1813,N/A,27,0,NO_MATCH_IN_PROD
1812,N/A,154,0,NO_MATCH_IN_PROD
1811,N/A,218,0,NO_MATCH_IN_PROD
1810,N/A,104,0,NO_MATCH_IN_PROD
1808,N/A,21,0,NO_MATCH_IN_PROD
1807,N/A,36,0,NO_MATCH_IN_PROD
1806,N/A,76,0,NO_MATCH_IN_PROD
1805,N/A,35,0,NO_MATCH_IN_PROD
1804,N/A,105,0,NO_MATCH_IN_PROD
1803,N/A,92,0,NO_MATCH_IN_PROD
1802,N/A,122,0,NO_MATCH_IN_PROD
1801,N/A,55,0,NO_MATCH_IN_PROD
1800,N/A,85,0,NO_MATCH_IN_PROD
1799,N/A,24,0,NO_MATCH_IN_PROD
1798,N/A,39,0,NO_MATCH_IN_PROD
1797,N/A,65,0,NO_MATCH_IN_PROD
1796,N/A,169,0,NO_MATCH_IN_PROD
1795,N/A,68,0,NO_MATCH_IN_PROD
1794,N/A,113,0,NO_MATCH_IN_PROD
1793,N/A,49,0,NO_MATCH_IN_PROD
1792,N/A,54,0,NO_MATCH_IN_PROD
1790,N/A,82,0,NO_MATCH_IN_PROD
1789,N/A,31,0,NO_MATCH_IN_PROD
1788,N/A,324,0,NO_MATCH_IN_PROD
1787,N/A,37,0,NO_MATCH_IN_PROD
1786,N/A,184,0,NO_MATCH_IN_PROD
1785,N/A,65,0,NO_MATCH_IN_PROD
1784,N/A,1,0,NO_MATCH_IN_PROD
1783,N/A,78,0,NO_MATCH_IN_PROD
1781,N/A,66,0,NO_MATCH_IN_PROD
1780,N/A,6,0,NO_MATCH_IN_PROD
1779,N/A,38,0,NO_MATCH_IN_PROD
1778,N/A,137,0,NO_MATCH_IN_PROD
1777,N/A,49,0,NO_MATCH_IN_PROD
1776,N/A,57,0,NO_MATCH_IN_PROD
1775,N/A,1,0,NO_MATCH_IN_PROD
1774,N/A,54,0,NO_MATCH_IN_PROD
1773,N/A,65,0,NO_MATCH_IN_PROD
1772,N/A,93,0,NO_MATCH_IN_PROD
1771,N/A,55,0,NO_MATCH_IN_PROD
1770,N/A,1,0,NO_MATCH_IN_PROD
1769,N/A,56,0,NO_MATCH_IN_PROD
1768,N/A,11,1,NO_MATCH_IN_PROD
1767,N/A,7,0,NO_MATCH_IN_PROD
175,N/A,55,0,NO_MATCH_IN_PROD
173,N/A,38,0,NO_MATCH_IN_PROD
172,N/A,101,0,NO_MATCH_IN_PROD
168,N/A,25,0,NO_MATCH_IN_PROD
167,N/A,158,0,NO_MATCH_IN_PROD
151,N/A,32,0,NO_MATCH_IN_PROD
139,N/A,457,0,NO_MATCH_IN_PROD
103,N/A,69,0,NO_MATCH_IN_PROD
102,N/A,28,0,NO_MATCH_IN_PROD
101,N/A,335,0,NO_MATCH_IN_PROD
100,N/A,566,0,NO_MATCH_IN_PROD
