LocationId,STCode,LocationName,ActiveEmps,TotalEmps,IsGeofenceEnabled
663,DU08,VARANASI-HUB-2,1,1,0
645,VWW01,VISHAL WATER WORLD,56,57,0
490,HB65,PATNA (RAJEEV NAGAR),35,85,0
471,HH20,GURUGRAM SEC-14,30,72,0
457,HB63,PATNA-4,29,86,0
443,HB64,DARBHANGA-2,24,75,0
2528,SEST,SEST,1,1,0
2527,SEDC,SEDC,1,1,0
2526,RD04,HO-OLD,21,44,0
2525,HW22,BASIRHAT,1,2,0
2524,HW12,VIP ROAD,1,1,0
2523,HW11,HTBGN,1,1,0
2522,HW10,GRHT,1,1,0
2521,HU85,ORAI,1,1,0
2520,HU79,ALLAHABAD (PRAYAGRAJ),1,1,0
2519,HU77,VNS-5(MALDAHIYA),1,36,0
2518,HU75,MRZPR-2,1,1,0
2517,HU73,BRLY-2,1,1,0
2516,HU68,JHANSI,1,1,0
2515,HU66,JNPR-2,1,1,0
2514,HU63,GK-3-BNKRD,1,1,0
2513,HU62,MIRZAPUR,1,1,0
2512,HU60,BALLIA,1,1,0
2511,HU56,PAHARIYA,1,1,0
2510,HU53,FRZBD,1,1,0
2509,HU51,LKNW-3,1,1,0
2508,HU47,FRKHBD,1,1,0
2507,HU46,LKNW-2,1,1,0
2506,HU43,MAU,1,1,0
2505,HU42,BNGL,1,1,0
2504,HU40,STPR,2,62,0
2503,HU39,LKNW,1,1,0
2502,HU37,BHRCH,1,1,0
2501,HU35,AZAM,1,1,0
2500,HU33,VNS,1,1,0
2499,HU32,GK-1-BNKRD-LGF,1,1,0
2498,HT15,HRDWR-2,1,1,0
2497,HT13,HRDWR-1,1,1,0
2496,HT12,HLDN,1,1,0
2495,HT01,HANAMKONDA,1,2,0
2494,HR21,KOTA,1,1,0
2493,HR16,UDAIPUR,1,1,0
2492,HR15,KOTA,1,670,0
2491,HP19,MALERKOTLA,1,1,0
2490,HO35,HAVERI,1,1,0
2489,HO34,SEMLIGUDA,1,1,0
2488,HO33,PARALAKHEMUNDI,1,1,0
2487,HO22,KHARIAR,1,1,0
2486,HN32,KOKRAJHAR,1,1,0
2485,HN12,GW-2-GNSPR,1,1,0
2484,HM27,UJJAIN,1,1,0
2483,HL12,MEHSANA(OPTION-1),1,1,0
2482,HL01,ANAND (GUJARAT),1,2,0
2481,HK09,DVNGR,1,1,0
2480,HK06,UDUPI,1,1,0
2479,HJ16,DLTNGNJ,1,1,0
2478,HH12,FBD,1,1,0
2477,HE10,HYD,1,1,0
2476,HD23,KPSHR-2,1,1,0
2475,HD21,NJF,1,1,0
2474,HD19,K-NGR,1,1,0
2473,HD18,RJR-GDN,1,1,0
2472,HD17,KRB,1,1,0
2471,HD16,MHPL,1,1,0
2470,HB49,PATNA CITY-(SADIKPUR),1,1,0
2469,HB40,BUXAR (CIVIL LINES),1,1,0
2468,HB28,BGSR-2,1,1,0
2467,HB27,MZFPR,1,1,0
2466,HB25,BUXAR,1,1,0
2465,HB23,LKSR,1,1,0
2464,HB18,KSNGNJ,1,1,0
2463,HB14,BGSR,1,1,0
2462,HB12,CHPR,1,1,0
2461,DX01,JAMMU-CITY-HUB,8,8,0
2460,DW02,KOLKATA-HUB,2,9,0
2459,DW01,KOLKATA-RDC,1020,1263,0
2458,DU07,MORADABAD HUB,10,10,0
2457,DU06,LUCKNOW-HUB,6,8,0
2456,DU05,VARANASI-HUB,9,11,0
2455,DR01,AJMER-HUB,6,8,0
2454,DP01,JALANDHAR-HUB,11,11,0
2453,DO02,JHARSUGUDA,1,1,0
2452,DO01,BBSR-RDC,5,5,0
2451,DN02,DIBRUGARH RDC,7,7,0
2450,DN01,GWHT-RDC,5,6,0
2449,DM02,JABALPUR-HUB,5,5,0
2448,DM01,BHOPAL-HUB,4,4,0
2447,DK10,BNGLR,1,1,0
2446,DK02,HUBLI-HUB,4,5,0
2445,DK01,BNGLR-DATA-CNTR,1,2,0
2444,DJ02,DHANBAD-HUB,16,18,0
2443,DJ01,JAMSHEDPUR-HUB,1,2,0
2442,DH30,FRKH-NGR-PRD,1,1,0
2441,DH27,FRK-HUB,1,1,0
2440,DH26,JMLPR-RDC,1,1,0
2439,DH25,FRKH-NGR-DC-1,1,1,0
2438,DH24,FRKH-NGR-RDC,271,566,0
2437,DH21,MNSR-DC,1,1,0
2436,DD03,KAPASHERA PLANT,1,1,0
2435,DB05,MUZAFFARPUR-HUB,5,5,0
2434,DB03,PATNA-HUB,10,15,0
2433,DB01,PTN-RDC,2,880,0
